rate latency
0.010 4.996
0.011 4.997
0.012 4.999
0.013 5.001
0.014 4.998
0.015 5.000
0.016 5.003
0.017 5.000
0.018 4.999
0.019 5.003
0.02 5.004
0.04 5.015
0.06 5.021
0.08 5.034
0.10 5.047
0.12 5.058
0.14 5.071
0.16 5.082
0.18 5.096
0.20 5.111
0.22 5.128
0.24 5.146
0.26 5.164
0.28 5.185
0.30 5.213
0.32 5.239
0.34 5.269
0.36 5.304
0.38 5.343
0.40 5.388
0.42 5.438
0.44 5.497
0.46 5.571
0.48 5.662
0.50 5.779
0.52 5.927
0.54 6.128
0.56 6.503
0.58 7.132
0.60 9.226
0.62 116.951
0.64 615.563
0.66 1148.785
0.68 1791.673
0.70 2439.772
0.72 3069.200
0.74 3672.608
0.76 4236.189
0.78 4795.541
0.80 5242.237
0.82 5749.214
0.84 6219.154
0.86 6649.160
0.88 7032.414
0.90 7441.178
